Authors	Title	Journal	Abstract	sample_size	patients	healthy	comments	network_size_nodes	network size networks	association	modelling	inclusion_strategy	weighted	deconfounding	deconfounding_level	notes deconfounding 	exclude	reason	questions deconfounding	comments	feedback	Seed based or PPI?	Anouk	Linda	threshold used
Li, HH and Wu, JJ and Marks, RA and Huang, HY and Li, LN and Dong, L and Luo, YJ and Tao, WH and Ding, GS and Li, Hehui and Wu, Junjie and Marks, Rebecca A. and Huang, Huiya and Li, Lina and Dong, Lin and Luo, Yue-Jia and Tao, Wuhai and Ding, Guosheng	Functional mapping and cooperation between the cerebellum and cerebrum during word reading	CEREBRAL CORTEX	Multiple areas in the cerebellum have been reported to be engaged in reading. However, how these regions cooperate with the reading-related areas in the cerebrum remains unclear. Here, brain images of fifty-two adults were acquired via functional magnetic resonance imaging. By comparing the cerebellar activation across three localization tasks targeting orthographic, phonological, and semantic processing, we first identified three different reading-related areas in the cerebellum, biased toward orthography, phonology, and semantics, respectively. Then, functional connectivity (FC) analyses demonstrated that the mean FC between functionally corresponding areas across the cerebrum and cerebellum was greater than that between noncorresponding areas during silent word reading. FC patterns of functionally corresponding areas could significantly predict reading speed, with the FC driven from orthographic and semantic areas contributing the most. Effective FC analyses further showed that orthographic and semantic areas in the cerebellum had selective and direct connectivity to areas in the cerebrum with similar functional specificity. These results suggest that reading-related areas vary in their functions to reading, and cooperation between areas with corresponding functions was greater than that between noncorresponding areas. These findings emphasize the importance of functional cooperation between the cerebrum and cerebellum during reading from a new perspective.	52	NA	52	NA	6	NA	correlation	individual	yes (thresholding)	yes	Multiple	Multiple	before: scan related (motion), physiological/biological (differences in ROI size across the brain, hemodynamic lag (during fMRI task)) after: clinical/psychological (task performance)	no			#NAAM?	Brain regions (ROIs) for functional connectivity analysis were selected based on activity during the fMRI task. These ROIs were then used as nodes for network estimation				
Zhao, Y and Skandali, N and Bethlehem, RAI and Voon, V and Zhao, Ying and Skandali, Nikolina and Bethlehem, Richard A. I. and Voon, Valerie	Mesial Prefrontal Cortex and Alcohol Misuse: Dissociating Cross-sectional and Longitudinal Relationships in UK Biobank	BIOLOGICAL PSYCHIATRY	BACKGROUND: Alcohol misuse is a major global public health issue. The disorder is characterized by aberrant neural networks interacting with environment and genetics. Dissecting the neural substrates and functional networks that relate to longitudinal changes in alcohol use from those that relate to alcohol misuse cross-sectionally is important to elucidate therapeutic approaches.METHODS: To assess how neuroimaging data, including T1, resting-state functional magnetic resonance imaging, and diffusion-weighted imaging, relate to alcohol misuse cross-sectionally and longitudinally in the UK Biobank, this study analyzed range of alcohol misuse in a population-based normative sample of 24,784 participants, ages 45 to 81 years old, in a cross-sectional analysis and a sample of 3070 participants in a longitudinal analysis 2 years later.RESULTS: Cross-sectional analysis showed that alcohol use is associated with a reduction in dorsal anterior cingulate cortex and dorsomedial prefrontal cortex gray matter concentration and functional resting-state connectivity (nodal degree: t24,422 =-12.99, p , 1 3 10-17). Reduced dorsal anterior cingulate cortex/ dorsomedial prefrontal cortex functional connections to the ventrolateral prefrontal cortex, amygdala, and striatum relate to greater alcohol use. In a longitudinal analysis, higher resting-state nodal degree (t3036 =-3.27, p = .0011) and T1 gray matter concentration in the ventromedial prefrontal cortex relate to reduced alcohol intake frequency 2 years later. Higher ventromedial prefrontal cortex and frontoparietal executive network functional connectivity is associated with lower subsequent drinking longitudinally.CONCLUSIONS: Dorsal versus ventromedial prefrontal regions are differentially related to alcohol misuse cross -sectionally or longitudinally in a large UK Biobank normative dataset. Our study provides a comprehensive understanding of the neurobiological substrates of alcohol use as a state or prospectively, thereby providing potential targets for clinical treatment.	24784	NA	NA	second sample: 3070	625	NA	full correlation	individual	yes (multiple)	yes	Multiple	Multiple	before: scan related (motion), physiological noise.  after: age, gender, physiological/biological (intracranial volume), other (study site)	no			#NAAM?	voxelwise regression with behavioural score, not a group network but individual voxelwise maps are fed into linear regression analysis. 	no			
Lewis, JD and Bezgin, G and Fonov, VS and Collins, DL and Evans, AC and Lewis, John D. and Bezgin, Gleb and Fonov, Vladimir S. and Collins, D. Louis and Evans, Alan C.	A sub plus cortical fMRI-based surface parcellation	HUMAN BRAIN MAPPING	Both cortical and subcortical structures are organized into a large number of distinct areas reflecting functional and cytoarchitectonic differences. Mapping these areas is of fundamental importance to neuroscience. A central obstacle to this task is the inaccuracy associated with bringing results from individuals into a common space. The vast individual differences in morphology pose a serious problem for volumetric registration. Surface-based approaches fare substantially better, but have thus far been used only for cortical parcellation, leaving subcortical parcellation in volumetric space. We extend the surface-based approach to include also the subcortical deep gray-matter structures, thus achieving a uniform representation across both cortex and subcortex, suitable for use with surface-based metrics that span these structures, for example, white/gray contrast. Using data from the Enhanced Nathan Klein Institute-Rockland Sample, limited to individuals between 19 and 69 years of age, we generate a functional parcellation of both the cortical and subcortical surfaces. To assess this extended parcellation, we show that (a) our parcellation provides greater homogeneity of functional connectivity patterns than do arbitrary parcellations matching in the number and size of parcels; (b) our parcels align with known cortical and subcortical architecture; and (c) our extended functional parcellation provides an improved fit to the complexity of life-span (6-85 years) changes in white/gray contrast data compared to arbitrary parcellations matching in the number and size of parcels, supporting its use with surface-based measures. We provide our extended functional parcellation for the use of the neuroimaging community.														yes	wrong outcome (analysis)		- wrong outcome (analysis)   - comparison of parcellations, no network built 					
Li, H and Li, XY and Wang, JY and Gao, F and Wiech, K and Hu, L and Kong, YZ and Li, Hong and Li, Xiaoyun and Wang, Jiyuan and Gao, Fei and Wiech, Katja and Hu, Li and Kong, Yazhuo	Pain-related reorganization in the primary somatosensory cortex of patients with postherpetic neuralgia	HUMAN BRAIN MAPPING	Studies on functional and structural changes in the primary somatosensory cortex (S1) have provided important insights into neural mechanisms underlying several chronic pain conditions. However, the role of S1 plasticity in postherpetic neuralgia (PHN) remains elusive. Combining psychophysics and magnetic resonance imaging (MRI), we investigated whether pain in PHN patients is linked to S1 reorganization as compared with healthy controls. Results from voxel-based morphometry showed no structural differences between groups. To characterize functional plasticity, we compared S1 responses to noxious laser stimuli of a fixed intensity between both groups and assessed the relationship between S1 activation and spontaneous pain in PHN patients. Although the intensity of evoked pain was comparable in both groups, PHN patients exhibited greater activation in S1 ipsilateral to the stimulated hand. Pain-related activity was identified in contralateral superior S1 (SS1) in controls as expected, but in bilateral inferior S1 (IS1) in PHN patients with no overlap between SS1 and IS1. Contralateral SS1 engaged during evoked pain in controls encoded spontaneous pain in patients, suggesting functional S1 reorganization in PHN. Resting-state fMRI data showed decreased functional connectivity between left and right SS1 in PHN patients, which scaled with the intensity of spontaneous pain. Finally, multivariate pattern analyses (MVPA) demonstrated that BOLD activity and resting-state functional connectivity of S1 predicted within-subject variations of evoked and spontaneous pain intensities across groups. In summary, functional reorganization in S1 might play a key role in chronic pain related to PHN and could be a potential treatment target in this patient group.														yes	wrong outcome (analysis)		- unclear if network was constructed, difficult to extract information 		seed-based			
Li, HH and Guan, Q and Huang, R and Lei, MM and Luo, YJ and Zhang, ZJ and Tao, WH and Li, Hehui and Guan, Qing and Huang, Rong and Lei, Mengmeng and Luo, Yue-Jia and Zhang, Zhanjun and Tao, Wuhai	Altered functional coupling between the cerebellum and cerebrum in patients with amnestic mild cognitive impairment	CEREBRAL CORTEX	Cognitive processing relies on the functional coupling between the cerebrum and cerebellum. However, it remains unclear how the 2 collaborate in amnestic mild cognitive impairment (aMCI) patients. With functional magnetic resonance imaging techniques, we compared cerebrocerebellar functional connectivity during the resting state (rsFC) between the aMCI and healthy control (HC) groups. Additionally, we distinguished coupling between functionally corresponding and noncorresponding areas across the cerebrum and cerebellum. The results demonstrated decreased rsFC between both functionally corresponding and noncorresponding areas, suggesting distributed deficits of cerebrocerebellar connections in aMCI patients. Increased rsFC was also observed, which were between functionally noncorresponding areas. Moreover, the increased rsFC was positively correlated with attentional scores in the aMCI group, and this effect was absent in the HC group, supporting that there exists a compensatory mechanism in patients. The current study contributes to illustrating how the cerebellum adjusts its coupling with the cerebrum in individuals with cognitive impairment.														yes	wrong outcome (analysis)		unclear if network was built 	Seed-based analysis (seed to voxel) as well as ROI to ROI analysis. 	seed-based			
Katsumi, Y and Putcha, D and Eckbo, R and Wong, B and Quimby, M and McGinnis, S and Touroutoglou, A and Dickerson, BC and Katsumi, Yuta and Putcha, Deepti and Eckbo, Ryan and Wong, Bonnie and Quimby, Megan and McGinnis, Scott and Touroutoglou, Alexandra and Dickerson, Bradford C.	Anterior dorsal attention network tau drives visual attention deficits in posterior cortical atrophy	BRAIN	Posterior cortical atrophy (PCA), usually an atypical clinical syndrome of Alzheimer's disease, has well-characterized patterns of cortical atrophy and tau deposition that are distinct from typical amnestic presentations of Alzheimer's disease. However, the mechanisms underlying the cortical spread of tau in PCA remain unclear. Here, in a sample of 17 biomarker-confirmed (A+/T+/N+) individuals with PCA, we sought to identify functional networks with heightened vulnerability to tau pathology by examining the cortical distribution of elevated tau as measured by F-18-flortaucipir (FTP) PET. We then assessed the relationship between network-specific FTP uptake and visuospatial cognitive task performance. As predicted, we found consistent and prominent localization of tau pathology in the dorsal attention network and visual network of the cerebral cortex. Elevated FTP uptake within the dorsal attention network (particularly the ratio of FTP uptake between the anterior and posterior nodes) was associated with poorer visuospatial attention in PCA; associations were also identified in other functional networks, although to a weaker degree. Furthermore, using functional MRI data collected from each patient at wakeful rest, we found that a greater anterior-to-posterior ratio in FTP uptake was associated with stronger intrinsic functional connectivity between anterior and posterior nodes of the dorsal attention network. Taken together, we conclude that our cross-sectional marker of anterior-to-posterior FTP ratio could indicate tau propagation from posterior to anterior dorsal attention network nodes, and that this anterior progression occurs in relation to intrinsic functional connectivity within this network critical for visuospatial attention. Our findings help to clarify the spatiotemporal pattern of tau propagation in relation to visuospatial cognitive decline and highlight the key role of the dorsal attention network in the disease progression of PCA.	17	17	NA	NA	400	7	full correlation	individual	yes (thresholding)	yes	Multiple	Multiple	before: scan related (motion), physiological (low-pass filtering, nuisance covariate regression, global signal regression)  after: age, sex	no			#NAAM?					
Khan, AF and Adewale, Q and Baumeister, TR and Carbonell, F and Zilles, K and Palomero-Gallagher, N and Iturria-Medina, Y and Khan, Ahmed Faraz and Adewale, Quadri and Baumeister, Tobias R. and Carbonell, Felix and Zilles, Karl and Palomero-Gallagher, Nicola and Iturria-Medina, Yasser and Alzheimer's Dis Neuroimaging Initi	Personalized brain models identify neurotransmitter receptor changes in Alzheimer's disease	BRAIN	Alzheimer's disease involves many neurobiological alterations from molecular to macroscopic spatial scales, but we currently lack integrative, mechanistic brain models characterizing how factors across different biological scales interact to cause clinical deterioration in a way that is subject-specific or personalized. As important signalling molecules and mediators of many neurobiological interactions, neurotransmitter receptors are promising candidates for identifying molecular mechanisms and drug targets in Alzheimer's disease. We present a neurotransmitter receptor-enriched multifactorial brain model, which integrates spatial distribution patterns of 15 neurotransmitter receptors from post-mortem autoradiography with multiple in vivo neuroimaging modalities (tau, amyloid-beta and glucose PET, and structural, functional and arterial spin labelling MRI) in a personalized, generative, whole-brain formulation. In a heterogeneous aged population (n = 423, ADNI data), models with personalized receptor-neuroimaging interactions showed a significant improvement over neuroimaging-only models, explaining about 70% (+/- 20%) of the variance in longitudinal changes to the six neuroimaging modalities. In Alzheimer's disease patients (n = 25, ADNI data), receptor-imaging interactions explained up to 39.7% (P < 0.003, family-wise error-rate-corrected) of inter-individual variability in cognitive deterioration, via an axis primarily affecting executive function. Notably, based on their contribution to the clinical severity in Alzheimer's disease, we found significant functional alterations to glutamatergic interactions affecting tau accumulation and neural activity dysfunction and GABAergic interactions concurrently affecting neural activity dysfunction, amyloid and tau distributions, as well as significant cholinergic receptor effects on tau accumulation. Overall, GABAergic alterations had the largest effect on cognitive impairment (particularly executive function) in our Alzheimer's disease cohort (n = 25). Furthermore, we demonstrate the clinical applicability of this approach by characterizing subjects based on individualized 'fingerprints' of receptor alterations. This study introduces the first robust, data-driven framework for integrating several neurotransmitter receptors, multimodal neuroimaging and clinical data in a flexible and interpretable brain model. It enables further understanding of the mechanistic neuropathological basis of neurodegenerative progression and heterogeneity, and constitutes a promising step towards implementing personalized, neurotransmitter-based treatments.	423	274	149	- fCN calculated for n=42 HC - total sample was n= 423 (149HC, 151 MCI, 103 late MCI, 20 AD)	88	NA	full correlation	individual	not specified	yes	Multiple	Multiple	before: scan related (motion), physiological (band-pass filtering) after: age, gender, other (education)	no			#NAAM?					
Levey, AI and Qiu, DQ and Zhao, LP and Hu, WT and Duong, DM and Higginbotham, L and Dammer, EB and Seyfried, NT and Wingo, TS and Hales, CM and Tansey, MG and Goldstein, DS and Abrol, A and Calhoun, VD and Goldstein, FC and Hajjar, I and Fagan, AM and Galasko, D and Edland, SD and Hanfelt, J and Lah, JJ and Weinshenker, D and Levey, Allan I. and Qiu, Deqiang and Zhao, Liping and Hu, William T. and Duong, Duc M. and Higginbotham, Lenora and Dammer, Eric B. and Seyfried, Nicholas T. and Wingo, Thomas S. and Hales, Chadwick M. and Gamez Tansey, Malu and Goldstein, David S. and Abrol, Anees and Calhoun, Vince D. and Goldstein, Felicia C. and Hajjar, Ihab and Fagan, Anne M. and Galasko, Doug and Edland, Steven D. and Hanfelt, John and Lah, James J. and Weinshenker, David	A phase II study repurposing atomoxetine for neuroprotection in mild cognitive impairment	BRAIN	Levey et al. report that the clinically approved noradrenaline reuptake inhibitor atomoxetine improves multiple biomarkers of Alzheimer's disease in a 12-month double-blind crossover phase II trial in individuals with mild cognitive impairment. The locus coeruleus is the initial site of Alzheimer's disease neuropathology, with hyperphosphorylated Tau appearing in early adulthood followed by neurodegeneration in dementia. Locus coeruleus dysfunction contributes to Alzheimer's pathobiology in experimental models, which can be rescued by increasing norepinephrine transmission. To test norepinephrine augmentation as a potential disease-modifying therapy, we performed a biomarker-driven phase II trial of atomoxetine, a clinically-approved norepinephrine transporter inhibitor, in subjects with mild cognitive impairment due to Alzheimer's disease. The design was a single-centre, 12-month double-blind crossover trial. Thirty-nine participants with mild cognitive impairment and biomarker evidence of Alzheimer's disease were randomized to atomoxetine or placebo treatment. Assessments were collected at baseline, 6- (crossover) and 12-months (completer). Target engagement was assessed by CSF and plasma measures of norepinephrine and metabolites. Prespecified primary outcomes were CSF levels of IL1 alpha and TECK. Secondary/exploratory outcomes included clinical measures, CSF analyses of amyloid-beta(42), Tau, and pTau(181), mass spectrometry proteomics and immune-based targeted inflammation-related cytokines, as well as brain imaging with MRI and fluorodeoxyglucose-PET. Baseline demographic and clinical measures were similar across trial arms. Dropout rates were 5.1% for atomoxetine and 2.7% for placebo, with no significant differences in adverse events. Atomoxetine robustly increased plasma and CSF norepinephrine levels. IL-1 alpha and TECK were not measurable in most samples. There were no significant treatment effects on cognition and clinical outcomes, as expected given the short trial duration. Atomoxetine was associated with a significant reduction in CSF Tau and pTau(181) compared to placebo, but not associated with change in amyloid-beta(42). Atomoxetine treatment also significantly altered CSF abundances of protein panels linked to brain pathophysiologies, including synaptic, metabolism and glial immunity, as well as inflammation-related CDCP1, CD244, TWEAK and osteoprotegerin proteins. Treatment was also associated with significantly increased brain-derived neurotrophic factor and reduced triglycerides in plasma. Resting state functional MRI showed significantly increased inter-network connectivity due to atomoxetine between the insula and the hippocampus. Fluorodeoxyglucose-PET showed atomoxetine-associated increased uptake in hippocampus, parahippocampal gyrus, middle temporal pole, inferior temporal gyrus and fusiform gyrus, with carry-over effects 6 months after treatment. In summary, atomoxetine treatment was safe, well tolerated and achieved target engagement in prodromal Alzheimer's disease. Atomoxetine significantly reduced CSF Tau and pTau, normalized CSF protein biomarker panels linked to synaptic function, brain metabolism and glial immunity, and increased brain activity and metabolism in key temporal lobe circuits. Further study of atomoxetine is warranted for repurposing the drug to slow Alzheimer's disease progression.	36	NA	NA	NA	53	NA	full correlation	aggregated	no	yes	Multiple	Multiple	before: scan related (motion) after: age, gender, biological (BMI), other (baseline static FC values). 	no								
Chiem, B and Abbas, K and Amico, E and Duong-Tran, DA and Crevecoeur, F and Goni, J and Chiem, Benjamin and Abbas, Kausar and Amico, Enrico and Duong-Tran, Duy Anh and Crevecoeur, Frederic and Goni, Joaquin	Improving Functional Connectome Fingerprinting with Degree-Normalization	BRAIN CONNECTIVITY	Background: Functional connectivity quantifies the statistical dependencies between the activity of brain regions, measured using neuroimaging data such as functional magnetic resonance imaging (fMRI) blood-oxygenation-level dependent time series. The network representation of functional connectivity, called a functional connectome (FC), has been shown to contain an individual fingerprint allowing participants identification across consecutive testing sessions. Recently, researchers have focused on the extraction of these fingerprints, with potential applications in personalized medicine. Materials and Methods: In this study, we show that a mathematical operation denominated degree-normalization can improve the extraction of FC fingerprints. Degree-normalization has the effect of reducing the excessive influence of strongly connected brain areas in the whole-brain network. We adopt the differential identifiability framework and apply it to both original and degree-normalized FCs of 409 individuals from the Human Connectome Project, in resting-state and 7 fMRI tasks. Results: Our results indicate that degree-normalization systematically improves three fingerprinting metrics, namely differential identifiability, identification rate, and matching rate. Moreover, the results related to the matching rate metric suggest that individual fingerprints are embedded in a low-dimensional space. Discussion: The results suggest that low-dimensional functional fingerprints lie in part in weakly connected sub-networks of the brain and that degree-normalization helps uncovering them. This work introduces a simple mathematical operation that could lead to significant improvements in future FC fingerprinting studies.	409	NA	NA	NA	374	NA	full correlation	individual	no	yes	Multiple	Multiple	before: scan related (motion), physiological (band-pass filtering, global signal regression) after: other (matching rate)	no								
Li, LY and Li, R and Shen, F and Wang, XY and Zou, T and Deng, CJ and Wang, C and Li, JY and Wang, HY and Huang, XJ and Lu, FM and He, ZL and Chen, HF and Li, Liyuan and Li, Rong and Shen, Fei and Wang, Xuyang and Zou, Ting and Deng, Chijun and Wang, Chong and Li, Jiyi and Wang, Hongyu and Huang, Xinju and Lu, Fengmei and He, Zongling and Chen, Huafu	Negative bias effects during audiovisual emotional processing in major depression disorder	HUMAN BRAIN MAPPING	Aberrant affective neural processing and negative emotional bias are trait-marks of major depression disorders (MDDs). However, most research on biased emotional perception in depression has only focused on unimodal experimental stimuli, the neural basis of potentially biased emotional processing of multimodal inputs remains unclear. Here, we addressed this issue by implementing an audiovisual emotional task during functional MRI scanning sessions with 37 patients with MDD and 37 gender-, age- and education-matched healthy controls. Participants were asked to distinguish laughing and crying sounds while being exposed to faces with different emotional valences as background. We combined general linear model and psychophysiological interaction analyses to identify abnormal local functional activity and integrative processes during audiovisual emotional processing in MDD patients. At the local neural level, MDD patients showed increased bias activity in the ventromedial prefrontal cortex (vmPFC) while listening to negative auditory stimuli and concurrently processing visual facial expressions, along with decreased dorsolateral prefrontal cortex (dlPFC) activity in both the positive and negative visual facial conditions. At the network level, MDD exhibited significantly decreased connectivity in areas involved in automatic emotional processes and voluntary control systems during perception of negative stimuli, including the vmPFC, dlPFC, insula, as well as the subcortical regions of posterior cingulate cortex and striatum. These findings support a multimodal emotion dysregulation hypothesis for MDD by demonstrating that negative bias effects may be facilitated by the excessive ventral bottom-up negative emotional influences along with incapability in dorsal prefrontal top-down control system.														yes	wrong outcome (analysis)		#NAAM?		PPI			
Gumus, M and Mack, ML and Green, R and Khodadadi, M and Wennberg, RA and Crawley, A and Colella, B and Tarazi, A and Mikulis, D and Tator, CH and Tartaglia, MC and Gumus, Melisa and Mack, Michael L. and Green, Robin and Khodadadi, Mozhgan and Wennberg, Richard A. and Crawley, Adrian and Colella, Brenda and Tarazi, Apameh and Mikulis, David and Tator, Charles H. and Tartaglia, Maria Carmela	Brain Connectivity Changes in Postconcussion Syndrome as the Neural Substrate of a Heterogeneous Syndrome	BRAIN CONNECTIVITY	Background: Postconcussion syndrome (PCS) or persistent symptoms of concussion refers to a constellation of symptoms that persist for weeks and months after a concussion. To better capture the heterogeneity of the symptoms of patients with PCS, we aimed to separate patients into clinical subtypes based on brain connectivity changes.Methods: Subject-specific structural and functional connectomes were created based on diffusion weighted and resting state functional magnetic resonance imaging, respectively. Following an informed dimensionality reduction, a Gaussian mixture model was used on patient-specific structural and functional connectivity matrices to find potential patient clusters. For validation, the resulting patient subtypes were compared in terms of cognitive, neuropsychiatric, and postconcussive symptom differences.Results: Multimodal analyses of brain connectivity were predictive of behavioral outcomes. Our modeling revealed two patient subtypes: mild and severe. The severe subgroup showed significantly higher levels of depression, anxiety, aggression, and a greater number of symptoms than the mild patient subgroup.Conclusion: This study suggests that structural and functional connectivity changes together can help us better understand the symptom severity and neuropsychiatric profiles of patients with PCS. This work allows us to move toward precision medicine in concussions and provides a novel machine learning approach that can be applicable to other heterogeneous conditions. Impact statementStructural and functional brain connectivity of patients with postconcussion syndrome (PCS) are predictive of their behavioral outcomes. Taking a data-driven machine learning approach, we revealed two distinct clinical subtypes of patients: those with mild versus severe symptoms. Patients in the severe subtype reported higher levels of depression, anxiety, aggressive attitudes, and severe symptoms, whereas mild patients' symptom and brain connectivity profiles resemble healthy controls. This study does not only report clinical subtypes of PCS but also suggests that multimodal neuroimaging analysis of resting state and diffusion-weighted imaging together is more powerful than unimodal analyses in predicting neuropsychiatric symptoms and symptom severity of patients.	96	83	13	#NAAM?	84	NA	full correlation	individual	yes (thresholding)	yes	Multiple	Multiple	before: age (sample matching), other (education (sample matching)), scan related (motion), physiological (ICA-AROMA denoising, band pass filtering) after: age (edges corrected using a linear model)	no		"Deconfounding performed in an intermediate step after network estimation but before statistical analysis:  ""each connection was corrected for age with a linear model by taking its residuals"""	#NAAM?					
Li, R and Yang, JL and Li, LY and Shen, F and Zou, T and Wang, HY and Wang, XY and Li, JY and Deng, CJ and Huang, XJ and Wang, C and He, ZL and Lu, FM and Zeng, L and Chen, HF and Li, Rong and Yang, Jiale and Li, Liyuan and Shen, Fei and Zou, Ting and Wang, Hongyu and Wang, Xuyang and Li, Jiyi and Deng, Chijun and Huang, Xinju and Wang, Chong and He, Zongling and Lu, Fengmei and Zeng, Ling and Chen, Huafu	Integrating Multilevel Functional Characteristics Reveals Aberrant Neural Patterns during Audiovisual Emotional Processing in Depression	CEREBRAL CORTEX	Emotion dysregulation is one of the core features of major depressive disorder (MDD). However, most studies in depression have focused on unimodal emotion processing, whereas emotional perception in daily life is highly dependent on multimodal sensory inputs. Here, we proposed a novel multilevel discriminative framework to identify the altered neural patterns in processing audiovisual emotion in MDD. Seventy-four participants underwent an audiovisual emotional task functional magnetic resonance imaging scanning. Three levels of whole-brain functional features were extracted for each subject, including the task-evoked activation, task-modulated connectivity, combined activation and connectivity. Support vector machine classification and prediction models were built to identify MDD from controls and evaluate clinical relevance. We revealed that complex neural networks including the emotion regulation network (prefrontal areas and limbic-subcortical regions) and the multisensory integration network (lateral temporal cortex and motor areas) had the discriminative power. Moreover, by integrating comprehensive information of local and interactive processes, multilevel models could lead to a substantial increase in classification accuracy and depression severity prediction. Together, we highlight the high representational capacity of machine learning algorithms to characterize the complex network abnormalities associated with emotional regulation and multisensory integration in MDD. These findings provide novel evidence for the neural mechanisms underlying multimodal emotion dysregulation of depression.														yes	wrong outcome (analysis)		#NAAM?		PPI			
Li, JL and Huang, ML and Pan, F and Li, Z and Shen, Z and Jin, KY and Zhao, HY and Lu, SJ and Shang, DS and Xu, Y and Wang, JH and Li, Junle and Huang, Manli and Pan, Fen and Li, Zhen and Shen, Zhe and Jin, Kangyu and Zhao, Haoyang and Lu, Shaojia and Shang, Desheng and Xu, Yi and Wang, Jinhui	Aberrant Development of Cross-Frequency Multiplex Functional Connectome in First-Episode, Drug-Naive Major Depressive Disorder and Schizophrenia	BRAIN CONNECTIVITY	Impact statementRecent methodological advances in network neuroscience allow integrating connectivity information from different scales or aspects through multilayer network models. Utilizing such models, we found common and specific neurodevelopmental abnormalities in multiband functional brain networks between major depressive disorder (MDD) and schizophrenia (SCH), and the abnormalities cannot be uncovered by individually analyzing brain networks within each frequency interval. These findings have important implications for understanding shared and unique neural mechanisms underlying MDD and SCH and highlight the necessity of integrating connectivity information from different frequency intervals to search for new biomarkers of the diseases. Introduction: Both major depressive disorder (MDD) and schizophrenia (SCH) are characterized by neurodevelopmental abnormalities; however, transdiagnostic and diagnosis-specific patterns of such abnormalities have rarely been examined, particularly in large-scale functional brain networks via advanced multilayer network models.Methods: Here, we collected resting-state functional magnetic resonance imaging data from 45 MDD patients, 64 SCH patients, and 48 healthy controls (HCs; 13-45 years old), and we constructed functional networks in different frequency intervals. The frequency-dependent networks were then fused by multiplex network models, followed by graph-based topological analyses.Results: We found that functional networks of the patients showed common neurodevelopmental abnormalities in the right ventromedial parietooccipital sulcus (opposite correlations with age to HCs), whereas functional networks of the MDD patients exhibited specific alterations in the left superior parietal lobule and right precentral gyrus with respect to cross-frequency interactions. These findings were quite different from those from brain networks within each frequency interval, which revealed SCH-specific neurodevelopmental abnormalities in the right superior temporal gyrus (opposite correlations with age to the other two groups) in 0.027-0.073 Hz, and SCH-specific alterations in the left superior temporal gyrus and bilateral insula in 0.073-0.198 Hz. Finally, multivariate analysis of age prediction revealed that the subcortical network lost prediction ability in both patient groups, whereas the visual network exhibited additional prediction ability in the MDD patients.Discussion and Conclusion: Altogether, these findings demonstrate transdiagnostic and diagnosis-specific neurodevelopmental abnormalities and alterations in large-scale functional brain networks between MDD and SCH, which have important implications for understanding shared and unique neural mechanisms underlying the diseases.	157	109	48	- patient sample: 45 MDD+64 SCH	246	NA	correlation	individual	yes (thresholding)	yes	Multiple	Multiple	before: scan related (motion, linear detrending), physiological (band-pass filtering, nuisance covariate regression, global signal regression) after: sex, scan related (motion), other (education)	no								
Li, T and Pei, ZD and Zhu, ZY and Wu, X and Feng, CL and Li, Ting and Pei, Zhaodi and Zhu, Zhiyuan and Wu, Xia and Feng, Chunliang	Intrinsic brain activity patterns across large-scale networks predict reciprocity propensity	HUMAN BRAIN MAPPING	Reciprocity is prevalent across human societies, but individuals are heterogeneous regarding their reciprocity propensity. Although a large body of task-based brain imaging measures has shed light on the neural underpinnings of reciprocity at group level, the neural basis underlying the individual differences in reciprocity propensity remains largely unclear. Here, we combined brain imaging and machine learning techniques to individually predict reciprocity propensity from resting-state brain activity measured by fractional amplitude of low-frequency fluctuation. The brain regions contributing to the prediction were then analyzed for functional connectivity and decoding analyses, allowing for a data-driven quantitative inference on psychophysiological functions. Our results indicated that patterns of resting-state brain activity across multiple brain systems were capable of predicting individual reciprocity propensity, with the contributing regions distributed across the salience (e.g., ventrolateral prefrontal cortex), fronto-parietal (e.g., dorsolateral prefrontal cortex), default mode (e.g., ventromedial prefrontal cortex), and sensorimotor (e.g., supplementary motor area) networks. Those contributing brain networks are implicated in emotion and cognitive control, mentalizing, and motor-based processes, respectively. Collectively, these findings provide novel evidence on the neural signatures underlying the individual differences in reciprocity, and lend support the assertion that reciprocity emerges from interactions among regions embodied in multiple large-scale brain networks.														yes	wrong outcome (analysis)		#NAAM?					
